sample	spearman_cor	similarity_score	MT	WT	t_statistic	df	p_value	mean_MT	mean_WT	padj	signif	delta_PSI
Two_104	0.628255753401996	6.50887484772179	0.310262201012635	0.219715075071394	4.42141206925984	3.81385553881877	0.0127920952072876	0.310262201012635	0.219715075071394	0.0274588940225398	TRUE	0.090547125941241
Two_105	0.601981188226372	6.34043772025136	0.00883462205069125	0.00350907821277549	2.37965365148912	2.58069174608586	0.111681993622437	0.00883462205069125	0.00350907821277549	0.16268296369828	FALSE	0.00532554383791576
Two_106	0.669279941069948	5.61777142771907	0.24810647586102	0.0944053743302433	16.032515544531	2.36942425689154	0.00179884972893316	0.24810647586102	0.0944053743302433	0.007224412621038	TRUE	0.153701101530777
Two_107	0.71187628107557	7.52172848338103	0.149672939347887	0.145948062432553	0.237225123067693	3.88748475405471	0.824456932385519	0.149672939347887	0.145948062432553	0.862073382061099	FALSE	0.00372487691533399
Two_108	0.626691303076498	4.61637557289152	0.0926980267870711	0.0387095990859597	7.61133497655432	3.18283171015441	0.00381678268682735	0.0926980267870711	0.0387095990859597	0.0114147741943816	TRUE	0.0539884277011114
Two_109	0.598059591400469	5.81380752269962	0.0980576953739943	0.0806110291777115	0.742892897719903	3.0009185107184	0.511415449545117	0.0980576953739943	0.0806110291777115	0.586831552703844	FALSE	0.0174466661962828
Two_11	0.760458931162221	5.58323215720722	0.346468871292776	0.247512761919789	2.67925102736488	3.13679399987914	0.0715911037364436	0.346468871292776	0.247512761919789	0.112468043093845	FALSE	0.098956109372987
Two_110	0.616483433744777	3.91012792293267	0.348484150682356	0.151688028322856	26.6589931800118	2.27335092629744	0.000691681792964832	0.348484150682356	0.151688028322856	0.00427497431458471	TRUE	0.1967961223595
Two_111	0.650054498832001	6.38028464055805	0.24844687255075	0.162543159599475	4.738813333921	2.23598528558458	0.0334646647608524	0.24844687255075	0.162543159599475	0.05930748416692	FALSE	0.085903712951275
Two_112	0.5771325256034	6.76771599400437	0.224550899329483	0.123583044801164	13.2027492168503	2.56010030814177	0.00201178656722308	0.224550899329483	0.123583044801164	0.00764786038532131	TRUE	0.100967854528319
Two_113	0.605117524408131	7.25291134078	0.0500259005081791	0.0389674721904217	1.35430821898359	3.98672468703789	0.247310852582833	0.0500259005081791	0.0389674721904217	0.326686484313663	FALSE	0.0110584283177574
Two_114	0.457864928189592	3.89267100779706	0.115372945607116	0.0832930377194377	8.04128022938007	3.62504408719916	0.00194651853244411	0.115372945607116	0.0832930377194377	0.00757317366529036	TRUE	0.0320799078876783
Two_115	0.574312611054693	6.13219638439347	0.238837705767957	0.253817487329186	-0.289926233171961	3.89742919632792	0.786640856154437	0.238837705767957	0.253817487329186	0.835473361867307	FALSE	-0.014979781561229
Two_116	0.443567337143804	4.70543525298121	0.247435623142566	0.229298735210118	1.5141694114254	3.99539857128691	0.204627443302323	0.247435623142566	0.229298735210118	0.277668846769909	FALSE	0.018136887932448
Two_117	0.528666189674793	4.90064862970954	0.108985389959383	0.0412440448245847	35.526016505901	3.34484571383279	1.98066238003092e-05	0.108985389959383	0.0412440448245847	0.00146388542082546	TRUE	0.0677413451347983
Two_118	0.528473203939475	6.73314790575916	0.190267526365681	0.127521637985347	6.19105642009659	3.70336063634954	0.00444658993133845	0.190267526365681	0.127521637985347	0.0124287433771546	TRUE	0.062745888380334
Two_119	0.316992256885396	4.53346993699916	0.112732983619665	0.0664110124788062	3.06842258490148	3.99987172111436	0.0373519371758287	0.112732983619665	0.0664110124788062	0.0654974109632489	FALSE	0.0463219711408588
Two_12	0.731610809855578	5.3597007036655	0.194202802833545	0.0961688147666177	5.95832255057281	3.70410722564022	0.00506670730496155	0.194202802833545	0.0961688147666177	0.0135657002036067	TRUE	0.0980339880669273
Two_120	0.358522903008669	5.72580813292888	0.362914367683954	0.391048129543209	-0.808475363069637	3.76790519831068	0.466761389075715	0.362914367683954	0.391048129543209	0.54237490707739	FALSE	-0.028133761859255
Two_121	0.483330451755113	4.56745505227144	0.194909703121446	0.131080120240192	3.98946762988933	3.75865435343439	0.0183748499136255	0.194909703121446	0.131080120240192	0.0357448252225997	TRUE	0.063829582881254
Two_122	0.43678710725168	5.34653437192355	0.25586705270727	0.225336231895854	1.71878453268483	2.92626785117467	0.186445893880566	0.25586705270727	0.225336231895854	0.255082569100335	FALSE	0.030530820811416
Two_123	0.560678130664112	5.150568764091	0.336053230188735	0.295678891247365	1.41123561573619	3.94721296356414	0.231916052009416	0.336053230188735	0.295678891247365	0.310468263173896	FALSE	0.04037433894137
Two_124	0.567897157623667	7.45858478153914	0.149611139829776	0.16395138694313	-0.388211955583615	2.2424469133678	0.731659272883732	0.149611139829776	0.16395138694313	0.786968289192437	FALSE	-0.014340247113354
Two_125	0.653306198929733	7.6373020374722	0.216331787434313	0.134213597992244	3.07719879234411	3.60935503946167	0.0424604207074458	0.216331787434313	0.134213597992244	0.0731670917380901	FALSE	0.082118189442069
Two_126	0.730482500260725	7.29814874667816	0.288589963811026	0.164676288605002	4.5179665519262	2.43013381826787	0.0313583579560549	0.288589963811026	0.164676288605002	0.0565813850076643	FALSE	0.123913675206024
Two_127	0.628322092919259	6.9403705048134	0.343555779626537	0.219512260576161	5.58150796503813	3.25844052894039	0.00907821153148101	0.343555779626537	0.219512260576161	0.021325232748479	TRUE	0.124043519050376
Two_128	0.648430833476019	7.33394810214965	0.365585278022548	0.117435422019492	22.8016427589012	3.90549818666238	2.66178887515038e-05	0.365585278022548	0.117435422019492	0.00146388542082546	TRUE	0.248149856003056
Two_129	0.552633695699726	4.95498033169266	0.210149069416897	0.100537733615583	17.7862047964765	2.10318509442485	0.0025036159490116	0.210149069416897	0.100537733615583	0.00882477289299459	TRUE	0.109611335801314
Two_13	0.715430678773765	5.53390351556593	0.404258934402623	0.254958380795861	6.1968364518123	2.57328004666862	0.0130833792997728	0.404258934402623	0.254958380795861	0.0277256293246249	TRUE	0.149300553606762
Two_130	0.612288262264166	7.00040137737506	0.326341143142606	0.2640268120032	2.04768873673602	3.94805705249255	0.110898949446937	0.326341143142606	0.2640268120032	0.16243434360169	FALSE	0.062314331139406
Two_131	0.590204633893946	5.98857088350314	0.104434048206884	0.0422625970829787	21.36493491825	3.48251425319144	8.09805151240094e-05	0.104434048206884	0.0422625970829787	0.0019203950729408	TRUE	0.0621714511239053
Two_132	0.57791216579833	7.14591782636376	0.226308816561413	0.160924608149722	2.93651328259065	3.39632851517845	0.0520619696060172	0.226308816561413	0.160924608149722	0.0864228695459885	FALSE	0.065384208411691
Two_133	0.494386325876271	5.38332058108975	0.347051225355528	0.164135976381967	21.6660065843354	2.12524578254713	0.00157100674046008	0.347051225355528	0.164135976381967	0.00664119400907053	TRUE	0.182915248973561
Two_134	0.574135531271763	6.53949002551876	0.14104034449289	0.0710067394968721	6.73915794890743	2.78708719561695	0.00838532467436972	0.14104034449289	0.0710067394968721	0.0202713188729909	TRUE	0.0700336049960179
Two_135	0.563569777353535	4.79932270689804	0.0910168368399509	0.0459087211698082	9.0642567132705	3.31603224747824	0.00188293760519741	0.0910168368399509	0.0459087211698082	0.00744208672530406	TRUE	0.0451081156701427
Two_136	0.600566289561067	6.84234078771814	0.362985056666674	0.171301098525778	25.6522027054085	3.21128797949923	7.96129685491079e-05	0.362985056666674	0.171301098525778	0.0019203950729408	TRUE	0.191683958140896
Two_137	0.660073523660493	6.10840111895167	0.0109115032047101	0.00789914500204925	1.34429110253755	2.94077340600861	0.273146351234899	0.0109115032047101	0.00789914500204925	0.355161574190548	FALSE	0.00301235820266085
Two_138	0.547675514205668	4.44943972149855	0.183501908997657	0.108265099072423	2.9285913683129	2.19669040089588	0.0890731977410317	0.183501908997657	0.108265099072423	0.134013451586205	FALSE	0.075236809925234
Two_139	0.530861339221883	5.45573524890535	0.371033844132375	0.423293623022437	-2.81855894428786	2.91823134058488	0.0689917047003699	0.371033844132375	0.423293623022437	0.109072599812013	FALSE	-0.052259778890062
