sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
57	One_15	Branch_Point	Rep_One_MAP_mut_BP_5_6	0.313188363935326	0.147543125420902	0.165645238514424	16.5645238514424	0.000748662705188586	0.00433527938585949	TRUE
58	One_150	AAAA_to_CCCC_Disrupted	Rep_One_MAP_AAAA_to_CCCC_Disrupted	0.345866197907684	0.190816054401225	0.155050143506459	15.5050143506459	0.00464736924726784	0.0127164279403263	TRUE
59	One_151	AAAA_to_CCCC_Restored	Rep_One_MAP_AAAA_to_CCCC_Restored	0.318939566470072	0.261088669755653	0.0578508967144187	5.78508967144187	0.262467188404779	0.343970157435737	FALSE
60	One_152	AAATTAAAA_to_CCCAGCCCC_Disrupted	Rep_One_MAP_AAATTAAAA_to_CCCAGCCCC_Disrupted	0.342813104324228	0.189366187064645	0.153446917259583	15.3446917259583	0.00262352807908921	0.00882781745531369	TRUE
61	One_153	AAATTAAAA_to_CCCAGCCCC_Restored	Rep_One_MAP_AAATTAAAA_to_CCCAGCCCC_Restored	0.137777918874412	0.134836995976135	0.00294092289827649	0.294092289827649	0.945085927279084	0.954670977251488	FALSE
62	One_154	UUU_to_GGG_Disrupted	Rep_One_MAP_UUU_to_GGG_Disrupted	0.0331260006772428	0.00862988988254345	0.0244961107946994	2.44961107946994	0.0244143560936045	0.0460543535402084	TRUE
63	One_155	UUU_to_GGG_Restored	Rep_One_MAP_UUU_to_GGG_Restored	0.114030191999602	0.0991211918832105	0.0149090001163916	1.49090001163916	0.707891060196048	0.766369017342678	FALSE
64	One_156	Can_2_TGF_Can	Rep_One_MAP_Base_Revert_Can_2_TGF_Can_MAP_Base_MAP3K7_150_Copy	0.331851423980099	0.165568544933254	0.166282879046845	16.6282879046845	0.00281474837219298	0.0092220045352112	TRUE
65	One_157	Can_2_TGF_Can	Rep_One_MAP_Base_Revert_Can_2_TGF_Can_MAP_Base_MAP3K7_150_Copy_2	0.101151157488944	0.0637095513602275	0.0374416061287165	3.74416061287165	0.0162851993629775	0.0329675987104178	TRUE
66	One_158	Can_2_TGF_Can	Rep_One_MAP_Base_Revert_Can_2_TGF_Can_MAP_Base_MAP3K7_150_Copy_3	0.244440997003525	0.126168789002178	0.118272208001347	11.8272208001347	0.00158645686518907	0.00664119400907053	TRUE
67	One_159	Can_2_TGF_Can	Rep_One_MAP_Base_Revert_Can_2_TGF_Can_MAP_Base_MAP3K7_150_Copy_4	0.242597355124288	0.129961703556661	0.112635651567627	11.2635651567627	0.011194039496277	0.0247761407517598	TRUE
68	One_16	Branch_Point	Rep_One_MAP_mut_BP_5_7	0.122600174688549	0.0496759932966536	0.0729241813918955	7.29241813918954	0.0104435933867824	0.0236404977573528	TRUE
69	One_160	Can_2_TGF_Can	Rep_One_MAP_Base_Revert_Can_2_TGF_Can_MAP_Base_MAP3K7_150_Copy_5	0.125362576475322	0.0696675702003047	0.0556950062750172	5.56950062750172	0.0172761299734897	0.0341409235190392	TRUE
70	One_161	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy	0.116646605599912	0.143675931153208	-0.0270293255532958	-2.70293255532958	0.636509072385097	0.701286544353491	FALSE
71	One_162	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_2	0.140939119629169	0.126636276565324	0.0143028430638449	1.43028430638449	0.691486132708845	0.753523181814015	FALSE
72	One_163	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_3	0.4562642000993	0.469876661870367	-0.0136124617710672	-1.36124617710672	0.332418792439289	0.413841311552059	FALSE
73	One_164	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_4	0.0486523325859039	0.0274859319910109	0.021166400594893	2.1166400594893	0.0156332203111687	0.0319071463727952	TRUE
74	One_165	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_5	0.338503087356201	0.108506665077378	0.229996422278822	22.9996422278822	0.0907614732601822	0.135733374425137	FALSE
75	One_166	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_6	0.281790242898087	0.120443621929501	0.161346620968586	16.1346620968586	0.000114206003133409	0.00200523601426593	TRUE
76	One_167	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_7	0.0206492079718514	0.0104745197936723	0.0101746881781791	1.01746881781791	0.00989246796296719	0.0226557620321605	TRUE
