sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_199	0.0972960843516763	0.0661445183034649	4.15031283159424	2.09163960466797	0.0494617697629347	0.059234938728141
One_2	0.19510789899989	0.163956332951679	16.0615140602871	2.23033384854692	0.00237924455073429	0.00780186278877469
One_20	0.0195777662179059	-0.0115737998303055	-2.85603170569803	3.65582130096286	0.0512742592190484	0.0608193480474154
One_200	0.460620670879826	0.429469104831614	39.9151601834923	2.20627263080082	0.000337563698059606	0.001997251880186
One_201	0.492035728161657	0.460884162113445	116.735832351697	3.72873936281475	8.80479463847645e-08	6.25140419331828e-06
One_202	0.170694430579012	0.1395428645308	4.2627723942288	2.02135818579375	0.0499256631187718	0.0595442610095326
One_203	0.366024668114949	0.334873102066738	9.85781895265928	2.01982588892201	0.00980856071293223	0.0171047532432538
One_204	0.384708768327583	0.353557202279372	24.1542299153798	2.10907655816204	0.00129921610056692	0.00529270821296522
One_206	0.182572039812955	0.151420473764744	4.13250295782033	2.01702900102453	0.0530931516651342	0.0626776636046833
One_207	0.0886255524984241	0.0574739864502128	23.8340951459336	2.08663711890977	0.00141297468382445	0.00557340014175199
One_208	0.431159221477694	0.400007655429482	13.3458231857787	2.02550302159815	0.00529849218535184	0.0133672620107607
One_209	0.0480917471453489	0.0169401810971375	3.07458245745597	2.87633711447974	0.0574587398159302	0.0673514002087673
One_21	0.202798663324979	0.171647097276768	3.18059310737184	2.00783224150822	0.085819839444856	0.0978267435873702
One_210	0.336469452426346	0.305317886378134	9.59828523448147	2.02262630188289	0.0102960882136517	0.0175847279800168
One_211	0.083987300978814	0.0528357349306026	13.7041623388447	3.79200671247637	0.000227584549907539	0.00150812695072062
One_212	0.00623420648820179	-0.0249173595600096	-10.4049659299718	2.03039505954593	0.00865217334761474	0.015985613954515
One_213	0.0253685522660486	-0.00578301378216281	-1.60114486717742	3.93611880779236	0.185748065190315	0.198104696136452
One_214	0.0218078904820726	-0.00934367556613881	-1.71460495459483	2.89792387146889	0.188138483541979	0.199796637436675
One_215	0.171424460447571	0.140272894399359	18.4353682280151	2.43098393317708	0.00113419261671375	0.0048178951325362
One_216	0.491039324527586	0.459887758479375	125.246391839783	3.90531330956232	3.47767587977794e-08	4.32101228062409e-06
One_217	0.145298635031599	0.114147068983387	41.0726968857766	3.26664771453686	1.51285729562313e-05	0.000183704548870031
One_218	0.424987288815258	0.393835722767047	41.786657042477	2.2725634358414	0.000249978879677555	0.00161350004155513
One_219	0.495419065478388	0.464267499430176	166.544383483385	3.28928343697195	1.42554208198688e-07	7.96141476983155e-06
One_22	0.172911906182523	0.141760340134312	12.4491676709406	2.18325070084258	0.00455263939373164	0.0120354349930033
One_220	0.00875340439203046	-0.0223981616561809	-9.16450872344205	2.19741078489176	0.00861210895882238	0.0159709632557266
One_221	0.0113759616722667	-0.0197756043759447	-7.90412719877646	2.39529340595448	0.00904967816918373	0.0163940477862252
One_222	0.0378811874115693	0.00672962136335797	0.433989065445283	2.09692140048134	0.704889941686826	0.709170649834721
One_223	0.111708188670663	0.0805566226224517	12.1678277876095	2.58393019615393	0.00237484527108695	0.00780186278877469
One_224	0.439745493691884	0.408593927643673	27.5704533272678	2.10633945691552	0.000990677490567389	0.00435722754700878
One_225	0.392168013287132	0.36101644723892	34.8144842092689	2.22285599099402	0.000435310540917231	0.00237746526193257
One_226	0.310332052771077	0.279180486722866	10.243704029189	2.03088542479746	0.00891963783616668	0.0162980147227016
One_227	0.0577075921312661	0.0265560260830548	7.07965530729209	3.85925030256827	0.00240178069755036	0.00780186278877469
One_228	0.0935688908493061	0.0624173248010947	6.15685122602446	2.23369749130296	0.0192992941704667	0.0272492875077328
One_229	0.18605791946253	0.154906353414319	10.0410589488014	2.09794152197985	0.00831151735922656	0.015766504303571
